"C_NO","SITE_CONTENT","SITE","PET_YN"
7117,"일반야영장(17면)",17,"Y"
8049,"",0,"N"
6740,"일반야영장(50면)",50,"Y"
299,"일반야영장(6면)",6,"N"
301,"일반야영장(100면)",100,"Y"
100254,"일반야영장(6면)",6,"Y"
306,"일반야영장(16면) 카라반(10면)",26,"N"
6956,"일반야영장(100면)",100,"Y"
309,"",0,"N"
313,"일반야영장(20면)",20,"Y"
315,"일반야영장(20면)",20,"N"
316,"개인카라반사이트(4면)",4,"N"
100209,"자동차야영장사이트(25면) 카라반(10면)",35,"N"
7424,"",0,"N"
320,"",0,"N"
7988,"자동차야영장사이트(16면)",16,"Y"
328,"자동차야영장사이트(40면)",40,"N"
329,"자동차야영장사이트(23면) 개인카라반사이트(6면)",29,"N"
331,"일반야영장(42면) 자동차야영장사이트(42면)",84,"N"
333,"일반야영장(38면) 자동차야영장사이트(19면)",57,"N"
7603,"카라반(25면)",25,"N"
7249,"자동차야영장사이트(21면) 카라반(10면)",31,"N"
100361,"일반야영장(36면)",36,"Y"
100246,"글램핑시설(13면)",13,"N"
7664,"자동차야영장사이트(14면)",14,"Y"
3231,"일반야영장(23면)",23,"N"
8125,"자동차야영장사이트(20면)",20,"Y"
3232,"",0,"N"
3233,"자동차야영장사이트(60면)",60,"Y"
8196,"일반야영장(22면)",22,"Y"
6811,"자동차야영장사이트(37면)",37,"N"
7083,"일반야영장(100면)",100,"N"
7254,"일반야영장(30면) 자동차야영장사이트(40면) 글램핑시설(6면) 카라반(28면) 개인카라반사이트(9면)",113,"N"
7570,"자동차야영장사이트(50면)",50,"Y"
3254,"일반야영장(15면)",15,"Y"
3252,"글램핑시설(6면) 카라반(7면)",13,"N"
8198,"자동차야영장사이트(44면)",44,"Y"
3253,"일반야영장(35면)",35,"N"
3251,"카라반(5면)",5,"N"
100388,"자동차야영장사이트(21면)",21,"Y"
100307,"일반야영장(21면) 카라반(1면) 개인카라반사이트(5면)",27,"Y"
7224,"카라반(7면) 개인카라반사이트(7면)",14,"N"
3262,"자동차야영장사이트(70면)",70,"Y"
3263,"일반야영장(25면)",25,"N"
100334,"카라반(14면)",14,"Y"
3270,"글램핑시설(11면)",11,"N"
3271,"자동차야영장사이트(79면)",79,"Y"
3072,"일반야영장(12면) 자동차야영장사이트(37면) 글램핑시설(20면)",69,"N"
3275,"일반야영장(41면)",41,"N"
7084,"일반야영장(30면)",30,"N"
3278,"글램핑시설(15면) 카라반(5면)",20,"N"
3279,"글램핑시설(10면)",10,"N"
3287,"일반야영장(25면)",25,"N"
8200,"자동차야영장사이트(25면)",25,"N"
7778,"",0,"N"
3289,"일반야영장(45면)",45,"Y"
3292,"글램핑시설(10면)",10,"N"
3293,"글램핑시설(10면)",10,"N"
7085,"",0,"N"
3298,"자동차야영장사이트(18면)",18,"N"
7626,"자동차야영장사이트(38면) 개인카라반사이트(1면)",39,"N"
3307,"일반야영장(35면)",35,"N"
7643,"글램핑시설(7면) 카라반(3면)",10,"Y"
7906,"",0,"N"
100635,"카라반(2면)",2,"Y"
7595,"일반야영장(16면) 글램핑시설(9면)",25,"Y"
3314,"",0,"N"
3316,"일반야영장(60면) 글램핑시설(6면)",66,"N"
7861,"자동차야영장사이트(24면)",24,"Y"
3317,"일반야영장(68면)",68,"N"
7087,"글램핑시설(5면)",5,"N"
7631,"카라반(3면)",3,"Y"
3319,"일반야영장(3면) 글램핑시설(3면)",6,"N"
3320,"일반야영장(8면)",8,"Y"
3323,"일반야영장(9면) 카라반(1면)",10,"N"
3324,"글램핑시설(6면)",6,"N"
7227,"글램핑시설(30면)",30,"N"
3329,"일반야영장(14면) 자동차야영장사이트(30면) 글램핑시설(1면) 카라반(3면)",48,"N"
100359,"글램핑시설(12면)",12,"Y"
7088,"일반야영장(25면)",25,"Y"
3330,"일반야영장(15면)",15,"Y"
